,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
145,Alta Floresta,BR,76.51,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
147,Florianopolis,BR,69.03,light rain,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
148,Shingu,JP,71.29,light rain,33.7333,135.9833,Shingu UI Hotel
149,Hamilton,US,64.99,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
150,Asfi,MA,68.63,clear sky,32.2994,-9.2372,Hôtel Abda
151,Katherine,AU,80.92,overcast clouds,-14.4667,132.2667,Pine Tree Motel
152,Hobyo,SO,77.47,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
153,Vao,NC,74.43,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
154,Mount Isa,AU,62.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
159,Loubomo,CG,71.94,overcast clouds,-4.1997,12.6739,La Dolisienne
160,Nova Odesa,UA,60.69,overcast clouds,47.3078,31.7851,Готель Круиз
161,Bambous Virieux,MU,71.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
162,Lompoc,US,87.01,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
163,San Quintin,MX,77.38,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
165,Balykshi,KZ,62.6,clear sky,47.0667,51.8667,Гостиница Golden Rose
166,Ghanzi,BW,74.46,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
168,Grand Gaube,MU,72.0,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
169,Senigallia,IT,66.29,overcast clouds,43.7093,13.2167,Hotel Universal
170,Samarai,PG,82.44,overcast clouds,-10.6167,150.6667,Nuli Sapi
171,Conakry,GN,80.02,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
172,Alofi,NU,71.49,moderate rain,-19.0595,-169.9187,Taloa Heights
173,Camana,PE,63.09,scattered clouds,-16.6228,-72.7111,Hostal Morales
177,Praia Da Vitoria,PT,70.05,few clouds,38.7333,-27.0667,Hotel Branco I
180,Lipari,IT,73.2,clear sky,38.4674,14.954,Hotel Villa Augustus
183,Awbari,LY,87.87,clear sky,26.5921,12.7805,استراحة الشارب العائلي
184,Port Blair,IN,80.31,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
