,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tuatapere,NZ,-46.1333,167.6833,58.75,63,47,1.74,scattered clouds
80,Sandpoint,US,48.2766,-116.5533,85.86,27,0,6.91,clear sky
81,Mataura,NZ,-46.1927,168.8643,58.35,71,38,3.87,scattered clouds
82,Lebu,CL,-37.6167,-73.65,53.74,73,0,17.13,clear sky
83,Bukachacha,RU,52.9833,116.9167,29.12,66,59,2.95,broken clouds
84,Methven,NZ,-43.6333,171.65,58.01,69,96,3.53,overcast clouds
85,Upernavik,GL,72.7868,-56.1549,36.28,99,100,12.84,light rain
86,Gari,RU,59.4307,62.3497,23.2,90,47,5.41,scattered clouds
87,Tasiilaq,GL,65.6145,-37.6368,37.56,98,100,1.92,overcast clouds
88,Port Elizabeth,ZA,-33.918,25.5701,66.09,97,75,17.27,mist
89,Darnah,LY,32.767,22.6367,83.48,43,20,9.28,few clouds
90,Codrington,AU,-38.2667,141.9667,52.14,84,100,11.72,overcast clouds
91,Constitucion,CL,-35.3333,-72.4167,57.11,73,0,14.0,clear sky
92,Geraldton,AU,-28.7667,114.6,46.81,93,0,5.75,clear sky
93,Pangnirtung,CA,66.1451,-65.7125,39.2,56,20,11.5,few clouds
94,Vicuna,CL,-30.0319,-70.7081,49.73,50,86,0.6,overcast clouds
95,Eyl,SO,7.9803,49.8164,79.03,76,98,15.52,overcast clouds
96,Hobart,AU,-42.8794,147.3294,52.27,92,75,8.05,broken clouds
97,Emerald,AU,-23.5333,148.1667,66.34,88,100,7.67,overcast clouds
98,Cockburn Town,TC,21.4612,-71.1419,82.56,81,31,18.48,scattered clouds
99,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,79,21,9.93,few clouds
100,Baghdad,IQ,33.3406,44.4009,71.51,23,0,6.91,clear sky
101,Seynod,FR,45.8855,6.0883,52.48,82,100,8.05,light rain
102,Saint-Francois,FR,46.4154,3.9054,53.04,87,75,4.61,light rain
103,Seoul,KR,37.5683,126.9778,62.04,97,0,3.44,clear sky
104,Osa,RU,57.2829,55.4567,27.88,83,100,4.7,overcast clouds
105,Biu,NG,10.6129,12.1946,68.36,93,72,4.12,broken clouds
106,Naze,JP,28.3667,129.4833,72.52,80,2,2.84,clear sky
107,Kavaratti,IN,10.5669,72.642,81.41,74,60,15.66,broken clouds
108,Georgetown,MY,5.4112,100.3354,79.9,82,20,5.99,thunderstorm
109,Florence,IT,43.7667,11.25,64.54,83,40,5.75,scattered clouds
110,Kodiak,US,57.79,-152.4072,45.91,76,100,3.44,light rain
111,Cabo San Lucas,MX,22.8909,-109.9124,94.6,62,0,13.8,clear sky
112,Alekseyevskaya,RU,50.2896,42.1845,61.81,72,100,9.06,light rain
113,Padang,ID,-0.9492,100.3543,75.33,88,75,3.76,broken clouds
114,Karaton,ID,-6.3424,106.1045,72.99,91,91,2.04,overcast clouds
115,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.26,69,5,6.76,clear sky
116,Hambantota,LK,6.1241,81.1185,75.54,100,40,1.14,scattered clouds
117,Road Town,VG,18.4167,-64.6167,86.04,74,40,6.91,scattered clouds
118,Yellowknife,CA,62.456,-114.3525,70.32,49,75,5.75,broken clouds
119,Aksu,CN,41.1231,80.2644,66.67,25,0,2.59,clear sky
120,Marawi,PH,7.9986,124.2928,69.8,89,100,3.02,overcast clouds
121,Khowst,AF,33.3833,69.8833,69.53,68,0,1.01,clear sky
122,Cayhagan,PH,9.6697,122.4256,77.58,81,100,3.27,overcast clouds
123,Tautira,PF,-17.7333,-149.15,77.38,79,30,16.33,light rain
124,Soe,ID,-9.8607,124.284,67.28,80,25,2.89,scattered clouds
125,Carnarvon,AU,-24.8667,113.6333,65.55,33,1,12.03,clear sky
126,Kruisfontein,ZA,-34.0033,24.7314,63.88,96,100,8.55,overcast clouds
127,Vedeno,RU,42.9703,46.095,59.76,26,62,6.26,broken clouds
128,Chuy,UY,-33.6971,-53.4616,55.09,90,5,5.1,clear sky
129,Srednekolymsk,RU,67.45,153.6833,26.11,78,61,10.02,broken clouds
130,Atasu,KZ,48.6814,71.6433,44.42,77,65,7.87,broken clouds
131,Hermanus,ZA,-34.4187,19.2345,48.79,82,1,4.88,clear sky
132,Castro,BR,-24.7911,-50.0119,59.49,98,100,1.05,overcast clouds
133,Mar Del Plata,AR,-38.0023,-57.5575,53.62,60,0,16.11,clear sky
134,Ponta Do Sol,PT,32.6667,-17.1,72.23,75,97,6.04,overcast clouds
135,Acapulco,MX,16.8634,-99.8901,84.02,74,75,5.75,broken clouds
136,Batagay-Alyta,RU,67.8006,130.4114,22.53,94,100,3.94,overcast clouds
137,Stantsionno-Oyashinskiy,RU,55.4664,83.8245,33.46,98,100,6.78,light snow
138,Mahebourg,MU,-20.4081,57.7,71.89,64,75,11.5,broken clouds
139,Los Llanos De Aridane,ES,28.6585,-17.9182,71.13,79,20,9.22,few clouds
140,Kieta,PG,-6.2167,155.6333,81.28,78,77,5.17,light rain
141,Pevek,RU,69.7008,170.3133,28.53,76,65,4.56,broken clouds
142,Lazaro Cardenas,MX,17.9583,-102.2,82.85,80,100,4.83,overcast clouds
143,Nome,US,64.5011,-165.4064,47.16,76,75,4.61,broken clouds
144,Thompson,CA,55.7435,-97.8558,57.36,47,40,11.5,scattered clouds
145,Alta Floresta,BR,-9.8756,-56.0861,76.51,68,78,1.99,moderate rain
146,Evanston,US,42.0411,-87.6901,59.52,51,75,16.11,broken clouds
147,Florianopolis,BR,-27.6146,-48.5012,69.03,65,75,10.36,light rain
148,Shingu,JP,33.7333,135.9833,71.29,90,93,3.89,light rain
149,Hamilton,US,39.1834,-84.5333,64.99,41,75,9.22,broken clouds
150,Asfi,MA,32.2994,-9.2372,68.63,71,0,14.83,clear sky
151,Katherine,AU,-14.4667,132.2667,80.92,69,100,8.05,overcast clouds
